Borough,Neighborhood,Latitude,Longitude
BRONX,Bronx Park and Fordham,40.86776830814062,-73.88871687755073
BRONX,Central Bronx,40.847241146532504,-73.90015347615042
BRONX,High Bridge and Morrisania,40.83230503877809,-73.91626761003208
BRONX,Hunts Point and Mott Haven,40.81620322183193,-73.9045768654629
BRONX,Kingsbridge and Riverdale,40.88321220037597,-73.90475358582007
BRONX,Northeast Bronx,40.89097080264313,-73.8586464236197
BRONX,Southeast Bronx,40.83341940357769,-73.85521601456254
BROOKLYN,Borough Park,40.62915806176774,-73.97727806348277
BROOKLYN,Bushwick and Williamsburg,40.697609611073446,-73.92955387246006
BROOKLYN,Canarsie and Flatlands,40.633207687114734,-73.90908271078871
BROOKLYN,Central Brooklyn,40.67436697454726,-73.93718853463173
BROOKLYN,East New York and New Lots,40.675392582979306,-73.88530542658906
BROOKLYN,Flatbush,40.65105077663439,-73.95147651356093
BROOKLYN,Greenpoint,40.7183660162056,-73.95239477983144
BROOKLYN,Northwest Brooklyn,40.686625847583976,-73.98410362091602
BROOKLYN,Southern Brooklyn,40.59058356108035,-73.96493915947048
BROOKLYN,Southwest Brooklyn,40.614697226514345,-74.0128055302459
BROOKLYN,Sunset Park,40.6453677702398,-74.00834798324276
MANHATTAN,Central Harlem,40.812574921886586,-73.94635510942268
MANHATTAN,Chelsea and Clinton,40.75286933014558,-73.99370844168432
MANHATTAN,East Harlem,40.795231037427094,-73.94164241073774
MANHATTAN,Gramercy Park and Murray Hill,40.745908987555666,-73.97782602305519
MANHATTAN,Greenwich Village and Soho,40.72696059605356,-74.0021040778951
MANHATTAN,Inwood and Washington Heights,40.84565560630233,-73.93650444621566
MANHATTAN,Lower East Side,40.72371802158055,-73.98560983312127
MANHATTAN,Lower Manhattan,40.70848784137454,-74.00849547073481
MANHATTAN,Upper East Side,40.774767305187886,-73.95496779140785
MANHATTAN,Upper West Side,40.786144672051726,-73.9742773177254
QUEENS,Central Queens,40.72552817222653,-73.80826970272005
QUEENS,Jamaica,40.69786329045412,-73.79043238456478
QUEENS,North Queens,40.77113175052375,-73.82177280385848
QUEENS,Northeast Queens,40.75822062472125,-73.76399641878496
QUEENS,Northwest Queens,40.76110193689141,-73.92587419300104
QUEENS,Rockaways,40.59256036116443,-73.78839078420411
QUEENS,Southeast Queens,40.700283236561965,-73.74046976316444
QUEENS,Southwest Queens,40.68287923934249,-73.8358028758473
QUEENS,West Central Queens,40.71333964117094,-73.87925429348006
QUEENS,West Queens,40.747485030909154,-73.87890228237427
STATEN ISLAND,Mid-Island,40.60439410494219,-74.1465524947813
STATEN ISLAND,Port Richmond,40.6326559594463,-74.13819612782324
STATEN ISLAND,South Shore,40.5487879881889,-74.16522673507771
STATEN ISLAND,Stapleton and St. George,40.62230127930745,-74.08298512252738
