feature,importance
Neighborhood_Northeast Bronx,0.1623733511561631
Time_Bucket_night,0.12367812288262249
Day_of_Week,0.11385917440491389
Neighborhood_Inwood and Washington Heights,0.07736464356423313
Borough_BRONX,0.056884322357935765
Time_Bucket_overnight,0.033052184202895935
Time_Bucket_morning,0.032284370110111454
Borough_STATEN ISLAND,0.025460706062987722
Season_Winter,0.023807709727218414
Time_Bucket_evening,0.02179782704485622
Season_Summer,0.021313655721771144
Month_9,0.01953835801049628
Time_Bucket_afternoon,0.01619053886947643
Neighborhood_West Queens,0.015558412470355587
Neighborhood_Central Bronx,0.015143805155823002
Season_Spring,0.014368761042765434
Neighborhood_Kingsbridge and Riverdale,0.014003040124464067
Neighborhood_Central Brooklyn,0.013594366479177705
Neighborhood_Bronx Park and Fordham,0.01068003172029061
Month_6,0.010319289702112634
Month_7,0.010157018199501178
Neighborhood_Bushwick and Williamsburg,0.008907916559098578
Neighborhood_High Bridge and Morrisania,0.008816781648510593
Season_Fall,0.008163956355327089
Month_3,0.007723352690863388
Neighborhood_Northeast Queens,0.007219990586147232
Neighborhood_Hunts Point and Mott Haven,0.007219088156032066
Month_12,0.0071438237324395245
Neighborhood_Central Harlem,0.006379841313339106
Neighborhood_Lower Manhattan,0.006362910099456004
Month_2,0.006341233522940195
Neighborhood_Flatbush,0.006031332308893006
Neighborhood_Southwest Queens,0.005878782216399312
Month_5,0.00531135385392565
Neighborhood_Upper West Side,0.005163729860810755
Month_8,0.004753723936354598
Borough_MANHATTAN,0.004552128281064069
Month_11,0.0042593485001525795
Month_4,0.004082435116128411
Month_1,0.0040532110287200334
Borough_QUEENS,0.003711300850655107
Neighborhood_Southeast Bronx,0.003704527380216754
Neighborhood_Mid-Island,0.003614026451911497
Neighborhood_Lower East Side,0.00352024199735691
Month_10,0.002951540106793453
Neighborhood_Rockaways,0.002923748082770369
Borough_BROOKLYN,0.0028424999770790315
Neighborhood_Port Richmond,0.0027185608678780833
Neighborhood_Central Queens,0.002454157932874228
Neighborhood_Sunset Park,0.0022375209470494716
Neighborhood_Southeast Queens,0.0021932556095019267
Neighborhood_Northwest Brooklyn,0.0017696339838900441
Neighborhood_Canarsie and Flatlands,0.0017382963050443809
Neighborhood_Upper East Side,0.0016642715402174434
Neighborhood_South Shore,0.0016419569004582316
Neighborhood_Southwest Brooklyn,0.0015773571855634172
Neighborhood_Northwest Queens,0.0012628304722011785
Neighborhood_Stapleton and St. George,0.0011129786033062207
Neighborhood_Gramercy Park and Murray Hill,0.0010953585454885023
Neighborhood_Greenwich Village and Soho,0.0010128444913721454
Neighborhood_Jamaica,0.0008309591586267631
Neighborhood_East New York and New Lots,0.0007746354694601149
Neighborhood_Borough Park,0.0006995674289899368
Neighborhood_Chelsea and Clinton,0.0006265012443899117
Neighborhood_East Harlem,0.000519709328695214
Neighborhood_Greenpoint,0.0003568777589722716
Neighborhood_North Queens,0.000272163297387949
Neighborhood_Southern Brooklyn,0.0002089562538664376
Neighborhood_West Central Queens,0.00016909305120874028
